Anläggningsår,Area,CHANGE_DATE,CID,CREATE_DATE,FEATURE_TYPE_OBJECT_ID,FEATURE_TYPE_VERSION_ID,Huvudman,ID,MAIN_ATTRIBUTE_DESCRIPTION,MAIN_ATTRIBUTE_VALUE,OBJECT_ID,VALID_FROM,VALID_TO,VERSION_ID,fid,FEATURE_TYPE_NAME,geometry_centroid,lon,lat,CHANGE_DATE_fmt,CREATE_DATE_fmt
,4828.314,202005130505.0,1738443202243896.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384432,202005130505.0,,1,1,Hundrastgård,POINT (18.12568093466059 59.27101455184031),18.12568093466059,59.27101455184031,,
,982.746,202005130507.0,1738447502243939.0,202005130507.0,17314453,1,SdF,Ekhagen,SdF,SdF,17384475,202005130507.0,,1,2,Hundrastgård,POINT (18.05687643065867 59.37012809438887),18.05687643065867,59.37012809438887,,
,950.42,202005130506.0,1738445702243921.0,202005130506.0,17314453,1,SdF,Hundrastgård Sjösavägen,SdF,SdF,17384457,202005130506.0,,1,3,Hundrastgård,POINT (18.045433199189084 59.2669308485977),18.045433199189084,59.2669308485977,,
2011.0,997.487,202005130505.0,1738442902243893.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384429,202005130505.0,,1,4,Hundrastgård,POINT (18.081647339553687 59.26026530877169),18.081647339553687,59.26026530877169,,
2018.0,200.337,202203180505.0,1738442103296701.0,202005130505.0,17314453,1,SdF,"HRG 2 Blackeberg, Blackebergsbacken 60",SdF,SdF,17384421,202005130505.0,,1,5,Hundrastgård,POINT (17.87758235751654 59.34379287469174),17.87758235751654,59.34379287469174,,
,976.18,202005130505.0,1738441902243883.0,202005130505.0,17314453,1,SdF,Turingevägens hundrastgård,SdF,SdF,17384419,202005130505.0,,1,6,Hundrastgård,POINT (18.01756951933489 59.27092647863587),18.01756951933489,59.27092647863587,,
2013.0,629.34,202005130505.0,1738443002243894.0,202005130505.0,17314453,1,SdF,Bredängs hundrastgård ,SdF,SdF,17384430,202005130505.0,,1,7,Hundrastgård,POINT (17.919998512760596 59.29511329367395),17.919998512760596,59.29511329367395,,
,1670.721,202206110505.0,1738443403391360.0,202005130505.0,17314453,1,SdF,"HRG 4 Nockebyhov, Judarskogen Bergslagsv",SdF,SdF,17384434,202005130505.0,,1,8,Hundrastgård,POINT (17.917546712641002 59.34180984507954),17.917546712641002,59.34180984507954,,
,602.084,202005130506.0,1738446502243929.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384465,202005130506.0,,1,9,Hundrastgård,POINT (17.92170295807014 59.40605319896125),17.92170295807014,59.40605319896125,,
2019.0,2070.859,202012160505.0,1787953402633327.0,202010290505.0,17314453,1,SdF,Lunda hund,SdF,SdF,17879534,202010290505.0,,1,10,Hundrastgård,POINT (17.87647460768936 59.38715814269985),17.87647460768936,59.38715814269985,,
,314.608,202111030505.0,1912184303129586.0,202111030505.0,17314453,1,SdF,-1,SdF,SdF,19121843,202111030505.0,,1,11,Hundrastgård,POINT (18.070716679487703 59.297198006703034),18.070716679487703,59.297198006703034,,
,1816.184,202005130507.0,1738446802243932.0,202005130507.0,17314453,1,SdF,,SdF,SdF,17384468,202005130507.0,,1,12,Hundrastgård,POINT (17.935162339979193 59.3967658530295),17.935162339979193,59.3967658530295,,
2016.0,982.209,202005130507.0,1738447602243940.0,202005130507.0,17314453,1,SdF,,SdF,SdF,17384476,202005130507.0,,1,13,Hundrastgård,POINT (17.920585330795053 59.29514868544121),17.920585330795053,59.29514868544121,,
,1576.262,202111120505.0,1738444103140769.0,202005130506.0,17314453,1,SdF,Hundrastgård Blåsutvägen,SdF,SdF,17384441,202005130506.0,,1,14,Hundrastgård,POINT (18.091209802793838 59.29237709391309),18.091209802793838,59.29237709391309,,
