Anläggningsår,Area,CHANGE_DATE,CID,CREATE_DATE,FEATURE_TYPE_OBJECT_ID,FEATURE_TYPE_VERSION_ID,Huvudman,ID,MAIN_ATTRIBUTE_DESCRIPTION,MAIN_ATTRIBUTE_VALUE,OBJECT_ID,VALID_FROM,VALID_TO,VERSION_ID,fid,FEATURE_TYPE_NAME,lon,lat
,4828.314,202005130505.0,1738443202243896.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384432,202005130505.0,,1,1,Hundrastgård,18.12568093167811,59.271014549057234
,982.746,202005130507.0,1738447502243939.0,202005130507.0,17314453,1,SdF,Ekhagen,SdF,SdF,17384475,202005130507.0,,1,2,Hundrastgård,18.056876430535162,59.37012809418761
,950.42,202005130506.0,1738445702243921.0,202005130506.0,17314453,1,SdF,Hundrastgård Sjösavägen,SdF,SdF,17384457,202005130506.0,,1,3,Hundrastgård,18.045433199273596,59.26693084877361
2011.0,997.487,202005130505.0,1738442902243893.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384429,202005130505.0,,1,4,Hundrastgård,18.081647339872767,59.26026530879051
2018.0,200.337,202203180505.0,1738442103296701.0,202005130505.0,17314453,1,SdF,"HRG 2 Blackeberg, Blackebergsbacken 60",SdF,SdF,17384421,202005130505.0,,1,5,Hundrastgård,17.87758235762067,59.34379287476375
,976.18,202005130505.0,1738441902243883.0,202005130505.0,17314453,1,SdF,Turingevägens hundrastgård,SdF,SdF,17384419,202005130505.0,,1,6,Hundrastgård,18.01756951881837,59.27092647859567
2013.0,629.34,202005130505.0,1738443002243894.0,202005130505.0,17314453,1,SdF,Bredängs hundrastgård ,SdF,SdF,17384430,202005130505.0,,1,7,Hundrastgård,17.919998512727854,59.29511329360441
,1670.721,202206110505.0,1738443403391360.0,202005130505.0,17314453,1,SdF,"HRG 4 Nockebyhov, Judarskogen Bergslagsv",SdF,SdF,17384434,202005130505.0,,1,8,Hundrastgård,17.917546712896417,59.341809844952934
,602.084,202005130506.0,1738446502243929.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384465,202005130506.0,,1,9,Hundrastgård,17.921702957855185,59.40605319883885
2019.0,2070.859,202012160505.0,1787953402633327.0,202010290505.0,17314453,1,SdF,Lunda hund,SdF,SdF,17879534,202010290505.0,,1,10,Hundrastgård,17.876474606662196,59.38715814176755
