id,osm_type,name,wikimedia_commons,osm_url
13204327268,node,,"Ardala_Hundrastgård,_Skövde",https://www.openstreetmap.org/node/13204327268
13245355311,node,Monteliusvägens hundrastgård,Monteliusvägens_hundrastgård,https://www.openstreetmap.org/node/13245355311
58082448,way,Björns Trädgårds hundrastgård,Björns_trädgårds_hundrastgård,https://www.openstreetmap.org/way/58082448
87242823,way,Humlegårdens hundrastgård,Humlegårdens_hundrastgård,https://www.openstreetmap.org/way/87242823
97420695,way,Kronobergsparkens hundrastgård,Kronobergsparkens_hundrastgård,https://www.openstreetmap.org/way/97420695
97420696,way,Sankt Göransparkens hundrastgård,Sankt_Göransparkens_hundrastgård,https://www.openstreetmap.org/way/97420696
121158079,way,Tantobergets hundrastgård,Tantobergets_hundrastgård,https://www.openstreetmap.org/way/121158079
164359635,way,Vitabergsparkens hundrastgård,Vitabergsparkens hundrastgård,https://www.openstreetmap.org/way/164359635
211371859,way,Drakenbergsparkens hundrastgård,Drakenbergsparkens_hundrastgård,https://www.openstreetmap.org/way/211371859
246334227,way,Henriksdalsallén hundrastgård,Henriksdalsalléns_hundrastgård,https://www.openstreetmap.org/way/246334227
298092213,way,Kristinehovs malmgårds hundrastgård,Kristinehovs_malmgårds_hundrastgård,https://www.openstreetmap.org/way/298092213
303966910,way,Frösäng Hundrastgård,Frösäng_Hundrastgård,https://www.openstreetmap.org/way/303966910
367855713,way,Hammarby Fabriksvägs hundrastgård,Hammarby_Fabriksvägs_hundrastgård,https://www.openstreetmap.org/way/367855713
403345825,way,Västra Hjorthagsparken hundrastgård - Stockholm,Västra_Hjorthagsparken_hundrastgård,https://www.openstreetmap.org/way/403345825
469672411,way,Tessinparkens hundrastgård,Tessinparkens_hundrastgård,https://www.openstreetmap.org/way/469672411
470246909,way,Kontorsparkens hundrastgård - Stockholm,Kontorsparkens_hundrastgård,https://www.openstreetmap.org/way/470246909
497274996,way,Konradsbergsparkens hundrastgård,Konradsbergsparkens_hundrastgård,https://www.openstreetmap.org/way/497274996
501346184,way,Hundrastgård Brogården,"Hundrastgård_Brogården,_Skara",https://www.openstreetmap.org/way/501346184
578579536,way,Kvarnbergets hundrastgård,Kronobergsparkens_hundrastgård,https://www.openstreetmap.org/way/578579536
653299297,way,Hundrastgård Tureberg 3,Hundrastgård_-_Tureberg_3,https://www.openstreetmap.org/way/653299297
703298765,way,Category:Vanadislundens hundrastgård,Vanadislundens_hundrastgård,https://www.openstreetmap.org/way/703298765
740519218,way,Grimstafältets Hundrastgård,Lundaängens_Hundrastgård_-_Spånga,https://www.openstreetmap.org/way/740519218
757516696,way,Frisens parks hundrastgård,"Frisens_park,_hundrastgård",https://www.openstreetmap.org/way/757516696
772128348,way,Hundrastgård Observatorielunden - Stockholm,"Hundrastgård_Observatorielunden,_Stockholm",https://www.openstreetmap.org/way/772128348
778560402,way,Skinnarviksbergets hundrastgård,Skinnarviksbergets_hundrastgård,https://www.openstreetmap.org/way/778560402
778841139,way,Vasaparkens hundrastgård,Vasaparkens_hundrastgård,https://www.openstreetmap.org/way/778841139
