count,count
Monteliusvägens_hundrastgård,2
Kronobergsparkens_hundrastgård,2
Beckomberga_hundrastgård,1
Jakobsbergs_Folkhögskolan_Hundrastgård,1
Hundrastgård_Varnhem,1
Rågsveds_hundrastgård,1
Sankt_Eriksparkens_hundrastgård,1
Ärvinge_hundrastgård,1
Snapphanevägens_Hundrastgård,1
Bellevueparkens_Hundrastområde,1
"Akalla_hundrastgård,_Järvafältet",1
Lill-Jansskogens_hundrastgård,1
"Akalla_hundrastgård,_Finlandsgatan",1
"Husby_hundrastgård,_Stockholm",1
"Oxtungans_hundrastgård,_Hässelby#",1
Blackebergsbacken_hundrastgård,1
"Ardala_Hundrastgård,_Skövde",1
Strandvägens_hundrastgård_-_Stockholm,1
"Kvarnens_Hundrastgård,_Stockholm",1
Slöjdvägens_Hundrastgård,1
Söderhöjdens_Hundrastgård,1
Snösätra_hundpark_-_Bandhagen,1
Kampementsbacken_hundrastgård,1
Gotlandsparkens hundrastgård,1
Wollmar_Yxkullsgatans_hundrastgård,1
Rosenlundsparkens_hundrastgård,1
Älvsborgsgatans_hundrastplats,1
Kristinebergs_hundrastgård,1
Tranebergs_hundrastgård,1
Hundrastgård_-_Tureberg,1
Ekhagens_hundrastgård,1
"Hundrastgård_Elins_Esplanad,_Skövde",1
Genarp Hundrastgård,1
"Golfängarnas_Hundrastgård,_Sundbyberg",1
Björns_trädgårds_hundrastgård,1
Humlegårdens_hundrastgård,1
Sankt_Göransparkens_hundrastgård,1
Tantobergets_hundrastgård,1
Vitabergsparkens hundrastgård,1
Drakenbergsparkens_hundrastgård,1
Henriksdalsalléns_hundrastgård,1
Kristinehovs_malmgårds_hundrastgård,1
Frösäng_Hundrastgård,1
Hammarby_Fabriksvägs_hundrastgård,1
Västra_Hjorthagsparken_hundrastgård,1
Tessinparkens_hundrastgård,1
Kontorsparkens_hundrastgård,1
Konradsbergsparkens_hundrastgård,1
"Hundrastgård_Brogården,_Skara",1
Hundrastgård_-_Tureberg_3,1
Vanadislundens_hundrastgård,1
Lundaängens_Hundrastgård_-_Spånga,1
"Frisens_park,_hundrastgård",1
"Hundrastgård_Observatorielunden,_Stockholm",1
Skinnarviksbergets_hundrastgård,1
Vasaparkens_hundrastgård,1
Solvändans_hundrastgård,1
Fatbursparkens_hundrastgård,1
Hundrastgård_Kyrkparken_Barkarby,1
Hundrastgård_-_Järvafältet_Bögs_gård,1
