key,value,count
access,yes,99
access,private,4
access,customers,3
access,permit,2
addr:city,Karlskoga,1
addr:city,Sollentuna,1
addr:city,Umeå,1
addr:city,Stockholm,1
addr:city,Mölndal,1
addr:city,Hisings Backa,1
addr:city,Viken,1
addr:city,Halmstad,1
addr:city,Klippan,1
addr:city,Lindome,1
addr:country,SE,3
addr:housenumber,6,2
addr:housenumber,19,1
addr:housenumber,20,1
addr:housenumber,1,1
addr:housenumber,2,1
addr:postcode,69151,1
addr:postcode,192 78,1
addr:postcode,906 52,1
addr:postcode,11521,1
addr:postcode,431 62,1
addr:postcode,26364,1
addr:postcode,302 29,1
addr:postcode,264 22,1
addr:postcode,437 33,1
addr:street,Kottstigen,1
addr:street,Sommarvägen,1
addr:street,Kvarnholmsvägen 114,1
addr:street,Holmbodavägen,1
addr:street,Nydala Sjöväg,1
addr:street,Prins Eugens väg,1
addr:street,Södra Nedanvägsgatan,1
addr:street,Hyllebärsvägen,1
addr:street,Sofiebergsvägen,1
addr:street,Forsmöllevägen,1
alt_name,Lylysdoghouse,1
alt_name,Värdsholmens Hundpark,1
alt_name,Norra Djurgårdsstans hundrastpark,1
alt_name,Lundaängens Hundrastgård,1
alt_name,Hundrastgård Djurgården,1
alt_name,Årvinge hundrastgård,1
amenity,animal_training,2
animal,dog,1
animal,swimming,1
animal_training,dog,3
area,yes,10
area,0.4,1
area,no,1
area,1 210,1
area,1 070,1
area:ha,2.630,1
area:ha,0.468,1
area:ha,0.414,1
barrier,fence,183
barrier,no,2
barrier,yes,1
bench,yes,1
bin,yes,1
building,yes,2
check_date,2025-10-15,4
check_date,2025-10-12,1
check_date,2020-01-07,1
check_date,2020-02-13,1
check_date,2025-03-27,1
check_date,2023-08-22,1
check_date,2025-10-10,1
contact:phone,+46 418 47 00 00,1
contact:website,https://www.gavle.se/driftinformation-och-felanmalan/fel-du-kan-anmala-till-oss/,11
contact:website,https://online.infracontrol.com/Public/Issue/Create?system=Södertälje%20kommun,6
contact:website,https://goteborg.se/wps/portal/start/uppleva-och-gora/parker-och-lekplatser/for-dig-som-ar-hundagare/hundrastgardar/?id=5549,1
contact:website,https://exempel.se/fel,1
description,Hundrastgård,2
description,Bath place for dogs,1
description,Hair dresser for dogs,1
description,Hundbad,1
description,ligger nära gångvägen vid parkering (infart Nyckelviksvägen) och består av en bit inhägnad skog samt en agilitybana.,1
description,"På östra Kvarnholmen hittar du en hundrastgård, som består av ett kuperat naturområde med gräs, buskar och träd.",1
description,två hagar och agilityutrustning,1
description,"Denna stora, öppna och flacka hage på 4 000 kvadratmeter ligger mellan Läroverksvägen och Pumpvägen, intill ett koloniområde. Det finns ett bänkbord i hagen. Parkeringsplatser finns vid Pumpvägen, cirka 75 meter bort, en busshållplats finns intill.",1
description,"Hundrastgården ligger centralt, alldeles intill Centralstationen. Ytan är långsmal och här finns ett flertal träd samt stubbar innanför staketet samt en papperskorg och två bänkar att sitta på. Här finns ingen belysning i dagsläget.",1
description,Gården är indelad in i två delar vilket möjliggör att hundar av olika storlekar kan vistas samtidigt. Här finns stockar och stenar och större ytor för hunden att springa på.,1
description,i närheten av Björkebyskolan och i anslutning till Veddestafältet,1
description,Hundrastgården är anlagd på gräs och erbjuder en trygg och inhägnad miljö där hundar kan springa fritt och leka utan koppel. Foto: Mattias Nilsson/Skövde kommun,1
description,Fisksätras nyaste hundrastgård ligger i Gröna dalen där Fidravägen går över Svartkärrstigen. Hundrastgården består av två delar med stängsel mellan. I den ena delen finns agilityutrustning. I båda delarna finns sittplatser.,1
description,"Hundrastgården ligger på Öster, alldeles intill Holmkanalen. Ytan är rektangulär och marken består främst av gräs. Ingen vegetation finns inom det avhängda området men strax utanför längs med ytan löper en allé av lind. Här finns en papperskorg",1
description,"hundrastgård är cirka 1300 kvadratmeter och ligger i Långsjöns naturreservat, sydväst om sjön nära Vattenverksvägen. Den kan nås från promenadslingan runt Långsjön eller via en stig från parkeringen vid Blomsterlandet.",1
description,Mindre hundrastgård med några stockar en parkbänk papperskorg och hundbajspåsar,1
description,"Hundpark, f.d. Utegolfbana",1
description,"Kvarnberget, ovanför Carl-Gustaf Lindstedts Gata och i anslutning till S:t Eriksområdet. Inhägnad hundrastgård, cirka 720 kvm",1
description,ligger i Tollare naturreservat. Parkering finns ett par hundra meter söder om hundrastgården. Här finns några agilityredskap och ett stort bänkbord. Två parksoffor är placerade vid den ena kullen. Vid entrén finns soptunnor för hundbajspåsar.,1
description,Inhägnad yta med grus och trappor,1
description,Hundrastgården ligger i Andersberg intill en träddunge med blandskog. Gården som har en gemensam slussgruind är indelad i två delar vilket möjliggör att hundar av olika storlekar kan vistas samtidigt.,1
description,Hundrastgården ligger i Sörby strax intill en skogsdunge av tall. Det finns även en del tallar inte på ytan som är kvadratisk. Markmaterialet är främst jord och högväxande gräs. Här finns papperskorg men ingen belysning i dagsläget.,1
description,"Hundrastgården i Bomhus är av naturlig karaktär. Den är kuperad och innehåller stigar och gångstråk. Här finns en mängd träd, stockar stenar i former samt sittplatser, papperskorg och belysning.",1
description,Hundrastgården ligger centralt i staden alldeles vid Gavleån och Gammelbron. Ytan sluttar ned mot vattnet och har en oregelbunden form. Markmaterialet är främst jord. Flera träd och buskar ringar in platsen vilket gör den relativt skuggig. Här finns en pa,1
description,"Hundrastgården ligger i den norra delen av området Nordost mot järnvägsspåret. Ytan är rektangulär och marken består främst av gräs. Här finns ett träd, bänkbord och en papperskorg. Ingen belysning finns i dagsläget.",1
description,Hundrastgården ligger mitt i parken Sätraängarna. Ytan är uppdelad i en större och en mindre hage som båda nås via en smitsäker slussgrind. Terrängen är plan med enstaka kullar att leka i. Marken består framförallt av gräs men också av stenmjöl i entréomr,1
description,Hundrastgården ligger i Siporexparken i Valbo intill Siporexgropen. Ytan är rektangulär och något sluttande mot norr. Marken som i huvudsak består av gräs är något kuperad och i ena hörnet finns en hel del träd samt några stenar. Här finns en papperskorg,1
description,"Hundrastgården ligger i Valbo, öster om Valbovägen mot E16. Ytan är långsmal och marken som är plan består främst av gräs. Här finns ett träd, en papperskorg samt två bänkar. I dagsläget finns ingen belysning.",1
description,"Hundrastgården ligger i Pilparken i Forsbacka. Gården består av stockar, stenar, soffa och bänkbord.  Hundrastgården snöröjs inte vintertid.",1
description,"I Kyrkparken, mellan Enköpingsvägen och Järfälla kyrka",1
description,är belägen öster om köpcentret Elins Esplanad. Här kan dina fyrbenta vänner springa fritt i ett inhägnat område. Foto: Mattias Nilsson. Om du kommer med bil finns bra parkeringsmöjligheter i anslutning till köpcentret Elins Esplanad.,1
description,"Henriksdalsbergets hundrastgård ligger på en bergknalle med stora höjdskillnader och stora uppväxta träd, främst tallar. Här finns ett picknickbord och en papperskorg.",1
description,"Området är inhägnat och har, liksom Skaras andra hundrastgårdar, en hundlatrin.",1
description,En mindre hundrastgård vid Skuggboparken i Mörby Centrum där du kan släppa din hund fritt.  Hundbad,1
description,I den lilla hundrastgården har du med löptik eller hund som är rädd för andra hundar förtur. Är någon redan i rastgården får du fråga om det går bra att komma in.,1
description,"I den stora hundrastgården kan flera hundar vistas samtidigt, här gäller ingen förtur. Du ansvarar för att din hund funkar med andra hundar, oavsett vem som kom först. Har du en löptik eller hund som är rädd för andra hundar, använd den lilla rastgården.",1
description,Denna hundrastgård i Söderhamn erbjuder en trevlig plats för hundar att leka och motionera.,1
description,Dog Club,1
