key,count
leisure,554
name,249
barrier,186
website,136
wheelchair,133
operator,118
access,108
operator:type,87
dog,76
surface,68
fence_type,65
operator:wikidata,64
wikimedia_commons,62
opening_hours,60
description,49
fenced,47
image,41
small_dog,40
image:license,35
lit,34
height,32
type,20
contact:website,19
source,18
note,15
mapillary,14
area,14
landuse,14
addr:city,10
addr:street,10
wikidata,10
check_date,10
addr:postcode,9
official_area,8
fence,8
alt_name,6
natural,6
sport,6
survey:date,6
addr:housenumber,6
dog:discipline:agility,4
panoramax,4
addr:country,3
fixme,3
phone,3
name:en,3
area:ha,3
animal_training,3
layer,3
panoramax:0,3
name:sv,2
animal,2
building,2
amenity,2
panoramax:3,2
panoramax:4,2
panoramax:2,2
panoramax:1,2
leash,1
wood,1
surface:note,1
bench,1
swimming:dog,1
previously,1
contact:phone,1
wikimedia_commons:path,1
bin,1
landcover,1
email,1
residential,1
material,1
ele,1
fee,1
description:en,1
